FID,OBJECTID,osm_id,code,fclass,name,Shape_Leng,AREA,Shape__Area,Shape__Length
45,513,113880800,8221,wetland,Marais Temps Clair,27181.09036,27181.09036,0.000141615,0.0891373
46,519,113880809,8200,water, ,5456.835176,5456.835176,9.83E-06,0.016401605
47,556,113880881,8200,water, ,3814.442926,3814.442926,1.78E-06,0.011837212
48,557,113880890,8200,water, ,3911.060103,3911.060103,3.76E-06,0.012421426
49,614,113881093,8200,water, ,5051.067011,5051.067011,5.89E-06,0.017046824
50,635,113881195,8200,water, ,7040.738685,7040.738685,1.52E-05,0.023025986
51,697,113881359,8200,water,Clyde Mosley Lake,4331.275857,4331.275857,6.77E-06,0.013624311
52,700,1592412,8200,water,Lake Number 35,13121.9641,13121.9641,2.10E-05,0.040855408
53,723,113881410,8200,water,Kraut Run Lake,17641.54297,17641.54297,6.88E-05,0.058067063
54,756,113881468,8221,wetland, ,4287.012677,4287.012677,1.66E-06,0.013491235
55,760,113881500,8221,wetland, ,5191.47663,5191.47663,1.22E-05,0.01607812
56,761,113881501,8221,wetland, ,8382.81217,8382.81217,1.40E-05,0.024759647
57,762,113881502,8221,wetland, ,6351.227067,6351.227067,2.05E-05,0.019737684
58,800,113881599,8221,wetland, ,5287.02137,5287.02137,8.40E-06,0.015871701
59,801,113881600,8221,wetland, ,6749.505321,6749.505321,7.64E-06,0.021285379
60,842,113881718,8221,wetland, ,11026.71621,11026.71621,1.40E-05,0.031991396
61,858,1592413,8200,water, ,6248.941737,6248.941737,6.02E-06,0.021074332
62,862,113881751,8200,water, ,3602.019194,3602.019194,1.02E-06,0.012235225
63,863,113881754,8200,water, ,6962.146562,6962.146562,3.38E-06,0.019616807
64,893,113881827,8200,water, ,4976.873509,4976.873509,1.40E-06,0.017164801
65,916,113881919,8221,wetland, ,4234.810221,4234.810221,4.37E-06,0.012653621
66,917,1592414,8221,wetland, ,4714.753935,4714.753935,3.91E-06,0.015027333
67,919,1592415,8200,water,Busch Area Lake Number 570,4495.209105,4495.209105,5.22E-06,0.013997674
68,934,113881947,8200,water, ,5211.549314,5211.549314,2.14E-06,0.01792129
69,937,113881985,8200,water, ,5110.312943,5110.312943,7.00E-06,0.016949238
70,939,113882009,8221,wetland, ,8002.087915,8002.087915,1.81E-05,0.02333115
71,952,113882060,8221,wetland, ,5178.558322,5178.558322,1.25E-05,0.016835805
72,964,113882094,8221,wetland, ,3921.374723,3921.374723,4.78E-06,0.01243379
73,972,113882102,8200,water, ,5961.375186,5961.375186,5.02E-06,0.020506227
74,976,113882162,8221,wetland,Dardenne Lake,20318.6142,20318.6142,0.000110039,0.064731693
75,983,113882205,8221,wetland, ,15569.92474,15569.92474,3.62E-05,0.051724808
76,1012,113882254,8200,water, ,6255.256378,6255.256378,8.70E-06,0.019915595
77,1033,113882339,8200,water, ,4592.688524,4592.688524,6.94E-06,0.015069645
78,1040,113882370,8200,water, ,3724.744126,3724.744126,1.52E-06,0.01144052
79,1044,113882410,8200,water, ,5812.75297,5812.75297,3.38E-06,0.018349468
