FID,NAME,ACREAGE,SOURCE,NOTES,OWNER,USER_,Shape__Area,Shape__Length
73,KONARCIK PARK,39.44,EWGCC,DOQed,City,Public,1.64E-05,0.018282979
74,HANFT PARK,36.19,EWGCC,DOQ/PBed,City,Public,1.51E-05,0.016008598
75,SUN VALLEY SPORTS COMPLEX,20.6,EWGCC,DOQed-ok,Private,Public,8.58E-06,0.012675723
76,WARTBURG LUTHERAN RETREAT CTR.,30.66,EWGCC,DOQ/PBedMINUS,Private,Private,1.28E-05,0.018612502
77,LITTLE INDIAN CREEK SF,2509.58,MDC,SF/CA?PBA2-MINUS,MDC,Public,0.001044774,0.22818627
78,SULLIVAN CC,130.03,EWGCC,DOQ/FCed,Private,Public,5.41E-05,0.042122069
79,CRYSTAL HIGHLANDS GC,69.34,EWGCC, ,Private,Public,2.88E-05,0.02177609
80,TRUMAN MEMORIAL PARK,14.39,EWGCC,FC-shp/signs?,not 1 or 2,Closed on field,5.98E-06,0.014304738
81,EMERICK SPORTS COMPLEX,11.89,EWGCC,DOQed,City,Public,4.99E-06,0.008944467
82,WOOD RIVER AQUATIC CENTER,5.57,EWGCC,DOQed,City,Public,2.34E-06,0.006479083
83,WORTHEN PARK,25.36,EWGCC,DOQed-ok,City,Public,1.06E-05,0.01610889
84,RIVERS EDGE GC,91.24,EWGCC,DOQed,Private,Public,3.82E-05,0.031526325
85,DWIGHT DAVIS PARK,9.81,EWGCC,DOQed-ok,City,Public,4.11E-06,0.00933977
86,SHANE VAN FOSSEN MEMORIAL PARK,13.24,EWGCC,DOQ/PB/FCed,City,Public,5.55E-06,0.010323855
87,W.C. HANDY PARK,11.35,EWGCC,DOQed-ok,City,Public,4.75E-06,0.009838512
88,EAGLE PARK MARSH NA,74.08,EWGCC,DOQ/PBedOldFmntGC?,State,Public,3.10E-05,0.024503136
89,HARRIS STOWE ATHLETIC FIELDS,7.23,EWGCC,DOQed-ok,Public,Public,3.02E-06,0.007180123
90,LAFAYETTE PARK,31.88,EWGCC,DOQed,City,Public,1.33E-05,0.014750461
91,COMPTON HILL RESERVOIR PARK,30.06,EWGCC,DOQed,City,Public,1.26E-05,0.014223297
92,SUBLETTE PARK,11.76,EWGCC,DOQed-ok,City,Public,4.92E-06,0.00942278
93,TILLES PARK,29.38,EWGCC,DOQed-ok,City,Public,1.23E-05,0.015178446
94,VIRGINIA PARK,9.52,EWGCC,DOQed,City,Public,3.98E-06,0.008137578
95,GRAVOIS PARK,8.48,EWGCC,DOQed-ok,City,Public,3.55E-06,0.007594543
96,MARQUETTE PARK,17.8,EWGCC,DOQed-ok,City,Public,7.44E-06,0.012225325
97,CARONDELET PARK,176.16,EWGCC,DOQed-ok,City,Public,7.36E-05,0.041991454
98,BELLERIVE PARK,5.81,EWGCC,akaBdwyBluffsHisArea,City,Public,2.43E-06,0.00700165
99,OKAW VALLEY PARK,17.28,EWGCC,DOQed,City,Public,7.20E-06,0.01164328
